
User Id, First Name, Last Name, Industry, Position, State
b0cacdd0-0b63-4885-ab87-56db101b95d6,Maurita,Alday,WMIH Corp.,Physical Therapy Assistant,FL
873b4602-7ac3-4b40-b1b2-cadfc9a3aca2,Emmet,Armatidge,Hancock Holding Company,Marketing Assistant,FL
98777b5c-61de-499b-98cc-d1ad640d2f99,Rennie,Ascraft,Essendant Inc.,Civil Engineer,FL
8966da36-9e7c-4172-be87-0e2a6ed62be3,Suzette,Bagguley,K2M Group Holdings, Inc.,Staff Scientist,FL
0843bb87-779b-4924-b21d-de4b6c55b1a2,Lucais,Beevis,Aegon NV,Professor,FL
2c228f4f-eb91-4fd6-a223-4381527f7fc4,Marj,Bellon,Global X Millennials Thematic ETF,Recruiting Manager,FL
8b3292a7-f338-4c0c-9bc5-1274040e0579,Foss,Benoey,Camping World Holdings, Inc.,Technical Writer,FL
92e35809-e6c2-435d-afed-3fa0db5e9aff,Carroll,Bertome,Norfolk Souther Corporation,Accounting Assistant IV,FL
3ad1da39-d851-4f7c-bcd0-e1d00c9fa06e,Mary,Bleaden,Tractor Supply Company,Structural Analysis Engineer,FL
3c2ebb79-104e-40c2-b490-d2cf74741088,Tomasine,Boosey,BorgWarner Inc.,Marketing Assistant,FL
e5ccc5d3-69f4-4ea5-a291-ebea1b4acaf5,Helaine,Boyett,Ultra Clean Holdings, Inc.,Staff Scientist,FL
019fd931-7308-47b0-ae50-da8a1784c056,Gabriellia,Brewin,Axcelis Technologies, Inc.,Structural Engineer,FL
a4d24937-8386-4cde-8ccf-43832e7a2b60,Antin,Brickell,AmTrust Financial Services, Inc.,Chemical Engineer,FL
ec547ba0-4a88-4972-87e4-4d28fb0ec7b6,Tobye,Butchart,Kayne Anderson MLP Investment Company,Registered Nurse,FL
a22edaba-9e9b-4ad7-9b56-9e4bdd2631ff,Carma,Cannaway,Alliance Holdings GP, L.P.,Administrative Officer,FL
825353b3-0183-40ac-9d71-44f45e8ccbdd,Audy,Carville,Anadarko Petroleum Corporation,Media Manager I,FL
07373fd0-1fc2-45d8-9877-c248e8e30d01,Gaylord,Coulter,Cal-Maine Foods, Inc.,Geologist I,FL
4cffa584-ef67-492b-ba56-b5dbe73ca1c1,Sheelagh,Curley,Newtek Business Services Corp.,Civil Engineer,FL
d72cc915-08c5-423f-9192-6e6da347c462,Casper,Curman,Radcom Ltd.,Nurse Practicioner,FL
5b8835a3-432c-4e05-bf2d-0db75f8706b3,Patrizius,Duchart,Kayne Anderson Energy Total Return Fund, Inc.,Food Chemist,FL
2e9bf622-a9b5-499d-ac13-516e6598cf86,Celine,Eastmond,First Northwest Bancorp,Food Chemist,FL
67fdb30f-50a4-4245-99ae-b19874c02ceb,Erena,Edger,Goldman Sachs BDC, Inc.,Teacher,FL
35fe2392-fdf6-444f-93d0-d3cb539e3c12,Florida,Escalero,Chemical Financial Corporation,Pharmacist,FL
4ee81f0a-cb7c-43aa-869f-f99205f02413,Juliann,Espada,Five Oaks Investment Corp.,Registered Nurse,FL
002f51d3-60f2-4d8e-a8db-84715b9e83ff,Jammie,Everly,Spirit Realty Capital, Inc.,Safety Technician III,FL
478f349e-1d2f-4b5c-ba35-accf27d8bfc3,Basia,Featherby,Pacific Continental Corporation (Ore),VP Sales,FL
89102df5-2e22-4607-b3d1-88ea13ff4b5f,Barry,Feldmark,TriNet Group, Inc.,Staff Accountant II,FL
7a8a5bb5-260d-466b-82c7-c76ba4209e71,Trudi,Fullalove,Inpixon ,GIS Technical Architect,FL
e4a2d731-c827-4366-8594-606d6709dc82,Karel,Fullilove,Boulevard Acquisition Corp. II,Help Desk Technician,FL
